Age (years),qx
0.5,0.005831063259393
1.5,0.000370077614207
2.5,0.000248410069617
3.5,0.000183834737982
4.5,0.00015809321485
5.5,0.000141898912261
6.5,0.00012595980661
7.5,0.000112999441626
8.5,0.000101495745184
9.5,9.22681792872027E-05
10.5,8.85945628397167E-05
11.5,9.58818272920325E-05
12.5,0.000120440708997
13.5,0.000165984180057
14.5,0.000228521239478
15.5,0.000295707111945
16.5,0.000365616200725
17.5,0.000445651763584
18.5,0.000533717859071
19.5,0.000622836814728
20.5,0.000713075627573
21.5,0.000795011350419
22.5,0.000857717473991
23.5,0.000897846650332
24.5,0.000922492996324
25.5,0.000943054212257
26.5,0.000967304978985
27.5,0.000993542256765
28.5,0.001023969613016
29.5,0.0010577570647
30.5,0.001093929982744
31.5,0.001131248078309
32.5,0.001170189818367
33.5,0.001211832743138
34.5,0.001259149052203
35.5,0.001317635411397
36.5,0.001388095552102
37.5,0.001466288231313
38.5,0.001549088046886
39.5,0.001638092449866
40.5,0.001741038286127
41.5,0.001861899159849
42.5,0.001998998457566
43.5,0.002157166367397
44.5,0.002341889776289
45.5,0.002543561626226
46.5,0.002773736603558
47.5,0.003054293105379
48.5,0.003385186195374
49.5,0.003746207337826
50.5,0.004109361208975
51.5,0.004473666660488
52.5,0.004861702211201
53.5,0.005287971813232
54.5,0.005754040088505
55.5,0.006254292558879
56.5,0.006769530940801
57.5,0.007294195238501
58.5,0.007823043502867
59.5,0.008368035778403
60.5,0.008958804421127
61.5,0.009605530649424
62.5,0.010287693701685
63.5,0.010995333082974
64.5,0.011735077016056
65.5,0.012519373558462
66.5,0.013393533416092
67.5,0.014396520331502
68.5,0.015578928403556
69.5,0.017000714316964
70.5,0.018678572028875
71.5,0.020548509433866
72.5,0.022558674216271
73.5,0.024701593443751
74.5,0.026983518153429
75.5,0.029456904157996
76.5,0.032338052988052
77.5,0.035667564719915
78.5,0.039459254592657
79.5,0.043922256678343
80.5,0.048756211996079
81.5,0.053978011012077
82.5,0.059674046933651
83.5,0.06639489531517
84.5,0.073868088424206
85.5,0.081965878605843
86.5,0.091544263064861
87.5,0.102046623826027
88.5,0.11351603269577
89.5,0.125986903905869
90.5,0.139482349157333
91.5,0.154011607170105
92.5,0.16956752538681
93.5,0.186124220490456
94.5,0.203635275363922
95.5,0.222032621502876
96.5,0.241226136684418
97.5,0.26110452413559
98.5,0.281536996364594
99.5,0.302376240491867
100.5,1
