x,y,hh_id,hh_pop,villagename,latitude,longitude,region_nam,region_cod,constituen,constitue1,ea_type,ea_subtype,ea_type_co,ea_subty_1,ea_code,ea,id2,sq_m,sq_km,ha,status,ea_no,_a_subtype,region,constitue,_a_no,hh_size,pop_size,comments,history,eanumber,arm2,eanumber2,eas_studya,eas_stud_1,eas_stud_2,eas_stud_3,eas_stud_4,eas_stud_5,eas_stud_6,eas_stud_7,eas_stud_8,eas_stud_9,eas_stud10,eas_stud11,eas_stud12,eas_stud13,eas_stud14,eas_stud15,eas_stud16,eas_stud17,eas_stud18,eas_stud19,eas_stud20,eas_stud21,eas_stud22,eas_stud23,eas_stud24,eas_stud25,eas_stud26,eas_stud27,eas_stud28,ea_actual,intarm_actual,eas_stud31,eas_stud32,eas_stud33,eas_stud34,eas_stud35,eas_stud36,eas_stud37
23.397495,-17.771175,ZA04-0001-05,5,Kalubi,-17.77117,23.39749,Caprivi,1,4,Kongola,Rural,,99,,9,10499009,203,5151511.5,5.1500001,515.15002,,10499009,Communal Land,Caprivi,Kongola,10499009,75,314,,,10499009,4,10499009,75,Caprivi,1,4,Kongola,Rural,,99,,9,10499009,203,5151511.5,5.1500001,515.15002,,Communal Land,Caprivi,Kongola,10499009,75,314,,,1,10,31.84713,32,76,RO29,RO,29,Communal Land,10499009,10499009,4,10499009,matched (3)
23.396976,-17.770866,ZA04-0002-04,7,Kalubi,-17.77087,23.39698,Caprivi,1,4,Kongola,Rural,,99,,8,10499008,202,27223396,27.219999,2722.3401,,10499008,Communal Land,Caprivi,Kongola,10499008,84,423,,,0,0,,74,Caprivi,1,4,Kongola,Rural,,99,,8,10499008,202,27223396,27.219999,2722.3401,,Communal Land,Caprivi,Kongola,10499008,84,423,,,0,3,7.0921998,7,75,,,,Communal Land,10499008,0,0,,matched (3)
23.399235,-17.770304,ZA04-0003-03,5,Betele,-17.7703,23.39924,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
23.400196,-17.769669,ZA04-0004-02,7,Mbomande,-17.76967,23.4002,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
23.400188,-17.769083,ZA04-0005-01,7,Mbomande,-17.769079,23.40019,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
23.400579,-17.768633,ZA04-0006-10,4,Mbomande,-17.768629,23.400579,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
23.400085,-17.768513,ZA04-0007-09,5,New york,-17.768511,23.400089,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
23.399734,-17.76804,ZA04-0008-08,1,New york,-17.76804,23.399731,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
23.399721,-17.767866,ZA04-0009-07,2,New york,-17.76787,23.399719,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
23.399733,-17.767897,ZA04-0010-04,1,New york,-17.7679,23.399731,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,10499010,Communal Land,Caprivi,Kongola,10499010,65,246,,,10499010,4,10499010,76,Caprivi,1,4,Kongola,Rural,,99,,10,10499010,204,29421628,29.42,2942.1599,,Communal Land,Caprivi,Kongola,10499010,65,246,,,0,26,105.69106,106,77,RO15,RO,15,Communal Land,10499010,10499010,4,10499010,matched (3)
