"ea_no","week1","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14","week15","week16","week17","week18","week19","week20","week21","week22","week23","week24","week25","week26","week27","week28","week29","week30","week31","week32","week33","week34","week35","week36","week37","week38","week39","week40","week41","week42","week43","week44","week45","week46","week47","week48","week49","week50","week51","week52","allweeks","intarm_actual","ea_pop_update"
10499005,3,9,6,3,6,6,0,0,3,3,15,9,6,6,33,18,27,24,6,3,3,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,"RV",418
10499009,0,3,0,3,12,0,9,9,0,6,9,6,15,18,12,6,6,21,12,3,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,"RO",388
10499010,0,0,3,0,0,0,0,3,3,3,3,3,6,3,3,6,6,9,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"RO",347
10499012,0,0,0,3,0,6,0,3,0,6,0,3,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"RV",494
10499014,3,3,6,6,3,3,6,6,21,18,18,9,12,24,6,27,15,12,3,3,12,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,"TO",677
10499015,0,3,0,0,0,0,9,3,0,3,0,3,0,0,3,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"TV",287
10599003,0,3,0,3,6,0,0,0,12,3,0,9,3,0,0,3,6,6,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,"RV",371
10599004,3,6,0,0,0,3,0,3,0,3,0,6,9,12,6,9,9,0,3,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,"TV",253
10599007,0,6,0,0,3,0,0,3,3,3,3,9,3,0,6,18,6,12,3,6,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,"TO",319
10599009,0,0,0,0,3,0,0,0,0,3,9,6,0,9,12,6,9,3,9,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,"TV",364
10599010,3,0,0,3,3,3,0,6,12,3,6,15,3,6,15,9,12,12,9,6,0,3,0,3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,"RV",687
10599011,0,0,0,3,0,3,0,0,6,3,27,21,0,27,18,12,18,18,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,"RO",258
10599013,0,0,3,3,0,0,3,0,3,12,9,3,3,18,33,9,27,18,9,0,0,12,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,"TO",302
10599016,0,3,3,3,0,3,21,6,0,9,6,0,18,0,3,0,3,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,"TV",293
10599018,3,0,0,3,6,3,6,18,3,9,0,9,15,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,"RV",285
10599020,0,0,0,0,3,0,6,0,6,9,3,6,6,9,3,12,3,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,"TV",414
